Sample,google_asr,viettelai_asr,bleu_google,inverted_wer_google,bleu_viettelai,inverted_wer_viettelai,inverted_cer_google,inverted_cer_viettelai,inverted_mer_google,inverted_mer_viettelai
TV360 có cập nhật những bộ phim mới nào không?,tivi 360 có cập nhật những bộ phim mới nào không,cập nhật bộ phim mới nào không,0.7048559110337752,0.8,0.3853564087960646,0.7,0.8,0.7,0.8181818181818181,0.7
tôi cảm thấy chán nản và mệt mỏi. Có phim nào giúp tôi lấy lại tinh thần không?,tôi cảm thấy chán nản và mệt mỏi Có phim nào giúp tôi lấy lại tinh thần không,tám năm ba mệt mỏi có phim nào giúp tôi lấy lại tinh thần không,0.7899658935918291,1.0,0.4267986861234423,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667
Tôi muốn được nghỉ ngơi và thư giãn có phim nào hay không,Tôi muốn được nghỉ ngơi và thư giãn có phim nào hay không,nghỉ ngơi và thư giãn có phim nào hay không,1.0,1.0,0.7408182206817179,0.7692307692307692,1.0,0.7692307692307692,1.0,0.7692307692307692
Tôi thích sự tò mò và muốn khám phá. Hãy gợi ý cho tôi phim phù hợp,Tôi thích sự tò mò và muốn khám phá. Hãy gợi ý cho tôi phim phù hợp,cô thích sự tò mò và môn khám phá hãy gợi ý cho tôi xin phù hợp,1.0,1.0,0.43967470228039357,0.8235294117647058,1.0,0.8235294117647058,1.0,0.8235294117647058
"Bạn có biết phim Trầm Vụn Hương Phai không, tôi đang muốn xem nó?","Bạn có biết phim Trầm Vụn Hương Phai không, tôi đang muốn xem nó?",phim trầm vụn hương phai không tôi đang muốn xem nó,1.0,1.0,0.24665753781042973,0.7857142857142857,1.0,0.7857142857142857,1.0,0.7857142857142857
"Tôi muốn xem phim Friendzone, bạn có thể giúp tôi không?","Tôi muốn xem phim Friendzone, bạn có thể giúp tôi không?",france john bạn có thể giúp tôi không,1.0,1.0,0.3972487752080777,0.5454545454545454,1.0,0.5454545454545454,1.0,0.5454545454545454
"Tôi nghe nói gần đây có phim Hoàng Tử Ai Cập rất hay, tôi muốn trải nghiệm phim này","Tôi nghe nói gần đây có phim Hoàng Tử Ai Cập rất hay, tôi muốn trải nghiệm phim này",đây có phim Hoàng Tử Ai Cập rất hay tôi muốn trải nghiệm phim này,1.0,1.0,0.6238085274818302,0.7894736842105263,1.0,0.7894736842105263,1.0,0.7894736842105263
phim này có gì khiến bạn muốn gợi ý tôi xem,phim này có gì khiến bạn muốn gợi ý tôi xem,phim này có gì khiến bạn muốn gợi ý tôi xem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vì sao lại đề xuất tôi xem phim này?,vì sao lại đề xuất tôi xem phim này,vì sao lại đề xuất tôi sang phim này,0.7545031759729783,1.0,0.5307712171072443,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888
Điều gì đặc biệt trong phim này mà bạn nghĩ tôi sẽ thích?,Điều gì đặc biệt trong phim này mà bạn nghĩ tôi sẽ thích?,trong phim này mà bạn nghĩ tôi sẽ thích,1.0,1.0,0.5625605645516322,0.6923076923076923,1.0,0.6923076923076923,1.0,0.6923076923076923
đề xuất cho tôi phim hành động,đề xuất cho tôi phim hành động,đề xuất cho tôi khi hành động,1.0,1.0,0.5915463685222677,0.8571428571428572,1.0,0.8571428571428572,1.0,0.8571428571428572
giới thiệu cho tôi một vài bộ phim hay về chủ đề khoa học viễn tưởng,giới thiệu cho tôi một vài bộ phim hay về chủ đề khoa học viễn tưởng,phim hay về chủ đề khoa học viễn tưởng,1.0,1.0,0.45942582403592663,0.5625,1.0,0.5625,1.0,0.5625
"ôi muốn xem phim kinh dị , gợi ý cho tôi những bộ phim đáng sợ nhất","ôi muốn xem phim kinh dị , gợi ý cho tôi những bộ phim đáng sợ nhất",kim ji gợi ý cho tôi những bộ phim đáng sợ nhất,1.0,1.0,0.5413003347516455,0.625,1.0,0.625,1.0,0.625
Tôi muốn xem chương trình về Thế giới động vật,Tôi muốn xem chương trình về Thế giới động vật,thế giới động vật,1.0,1.0,0.14682790263863815,0.4,1.0,0.4,1.0,0.4
"Có chương trình Ai là triệu phú không, tôi muốn xem ngay bây giờ","Có chương trình Ai là triệu phú không, tôi muốn xem ngay bây giờ",tôi muốn xem ngay bây giờ,1.0,1.0,0.2635971381157267,0.4285714285714286,1.0,0.4285714285714286,1.0,0.4285714285714286
"Tôi đang tìm kiếm chương trình Bạn của nhà nông, bạn có biết không?","Tôi đang tìm kiếm chương trình Bạn của nhà nông, bạn có biết không?",chương trình mạn của nhà ông bạn có biết không,1.0,1.0,0.21048618325894092,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714
"Tôi muốn biết về các chương trình trên VTV3, bạn có thể gợi ý không?","Tôi muốn biết về các chương trình trên VTV3, bạn có thể gợi ý không?",chương trình trên vtv3 bạn có thể gọi không,1.0,1.0,0.19269156823482048,0.5333333333333333,1.0,0.5333333333333333,1.0,0.5333333333333333
Hãy cho tôi biết những chương trình giải trí hấp dẫn trên HTV7,Hãy cho tôi biết những chương trình giải trí hấp dẫn trên HTV7,hấp dẫn trên htv7,1.0,1.0,0.06935659021560685,0.3076923076923077,1.0,0.3076923076923077,1.0,0.3076923076923077
"Tôi thích xem kênh VTV1, đề xuất cho tôi vài chương trình hay",Tôi thích xem kênh VTV1 đề xuất cho tôi vào chương trình hay,trong vtv1 đề xuất cho tôi vào chương trình 2,0.5316327979532466,0.9230769230769231,0.2945755231227298,0.5384615384615384,0.9230769230769231,0.5384615384615384,0.9230769230769231,0.5384615384615384
gợi ý cho tôi những kênh phù hợp để xem chương trình thể thao,gợi ý cho tôi những kênh phù hợp để xem chương trình thể thao,kênh phù hợp để xem chương trình thể thao,1.0,1.0,0.5737534207374327,0.6428571428571428,1.0,0.6428571428571428,1.0,0.6428571428571428
"tôi muốn xem phim, đề xuất cho tôi một số kênh phù hợp","tôi muốn xem phim, đề xuất cho tôi một số kênh phù hợp",phim đề xuất gia công 1 số kênh phù hợp,1.0,1.0,0.2945755231227298,0.5384615384615384,1.0,0.5384615384615384,1.0,0.5384615384615384
Kênh nào có gameshow phù hợp để gia đình cùng xem,Kênh nào có gameshow phù hợp để gia đình cùng xem,chuyên sâu phù hợp để gia đình ken sen,1.0,1.0,0.40607117985384716,0.4545454545454546,1.0,0.4545454545454546,1.0,0.4545454545454546
cho tôi một số kênh để theo dõi tin tức,cho tôi một số kênh để theo dõi tin tức,theo dõi tin tức,1.0,1.0,0.22313016014842982,0.4,1.0,0.4,1.0,0.4
"Tôi là fan cuồng bóng đá, gợi ý cho tôi gói cước phù hợp",tôi là fan cuồng bóng đá cho tôi gói cước phù hợp,vậy cho tôi gói cước phù hợp,0.5652706420465078,0.8571428571428572,0.3077579698978399,0.4285714285714286,0.8571428571428572,0.4285714285714286,0.8571428571428572,0.4285714285714286
"Nếu tôi muốn xem nhiều trận bóng đá chất lượng cao, thì tôi nên chọn gói cước nào?","Nếu tôi muốn xem nhiều trận bóng đá chất lượng cao, thì tôi nên chọn gói cước nào?",nhiều trận bóng đá chất lượng cao thì tôi nên chọn gói cước nào,1.0,1.0,0.5426868710643268,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778
"Để xem trực tiếp các sự kiện thể thao, bạn nghĩ gói cước nào sẽ tốt nhất?","Để xem trực tiếp các sự kiện thể thao, bạn nghĩ gói cước nào sẽ tốt nhất?",kiện thể thao bạn và thuốc nào sẽ tốt nhất,1.0,1.0,0.14189629238478343,0.47058823529411764,1.0,0.47058823529411764,1.0,0.47058823529411764
gói cước nào sẽ cho tôi quyền truy cập vào các bộ phim bom tấn?,gói cước nào sẽ cho tôi quyền truy cập vào các bộ phim bom tấn?,tôi quyền truy cập vào các bộ phim bom bệnh,1.0,1.0,0.5403658521205015,0.6,1.0,0.6,1.0,0.6
Nếu tôi có 30.000 đồng để mua gói cước xem thể thao thì nên mua gói nào,Nếu tôi có 30.000 đồng để mua gói cước xem thể thao thì nên mua gói nào,đội mua gói cước sang thể thao thì nên mua vào lòng,1.0,1.0,0.31635521138397404,0.47058823529411764,1.0,0.47058823529411764,1.0,0.47058823529411764
có gói cước nào mà tôi có thể mua với 20k không?,có gói cước nào mà tôi có thể mua với 20k không?,mua với 20000 không,1.0,1.0,0.06114461654585454,0.25,1.0,0.25,1.0,0.25
"Tôi muốn dành 100k để đăng ký xem phim, đề xuất cho tôi gói cước phù hợp","Tôi muốn dành 100k để đăng ký xem phim, đề xuất cho tôi gói cước phù hợp",để đăng ký xem phim đề xuất cho tôi và cước phù hợp,1.0,1.0,0.39082532221844957,0.7058823529411764,1.0,0.7058823529411764,1.0,0.7058823529411764
"Tôi muốn đăng ký gói xem phim trong khoảng 7 ngày, gợi ý cho tôi các gói cước phù hợp","Tôi muốn đăng ký gói xem phim trong khoảng 7 ngày, gợi ý cho tôi các gói cước phù hợp",thì xem phim trong vòng 7 ngày gợi ý cho tôi các gói cước phù hợp,1.0,1.0,0.4982883244985755,0.7,1.0,0.7,1.0,0.7
"Tôi đang tìm kiếm gói cước xem thể thao theo tháng, có gói nào không","Tôi đang tìm kiếm gói cước xem thể thao theo tháng, có gói nào không",thể thao cho toàn cao không,1.0,1.0,0.06741599762807414,0.19999999999999996,1.0,0.19999999999999996,1.0,0.19999999999999996
Tư vấn cho tôi gói cước xem phim trong khoảng 1 năm,Tư vấn cho tôi gói cước xem phim trong khoảng 1 năm,phim trong vòng 1 năm,1.0,1.0,0.11028151488369932,0.33333333333333337,1.0,0.33333333333333337,1.0,0.33333333333333337
"Tôi thích xem các bộ phim bom tấn, giữa gói Vcine và gói K+ thì gói nào phù hợp hơn",tôi thích xem các bộ phim bom tấn dựa vào resine và gói k+ gói nào phù hợp hơn,cần giữa gói v cine và gói k+ gói nào phù hợp hơn,0.4736740113167194,0.8,0.25041734980597125,0.44999999999999996,0.8,0.44999999999999996,0.8,0.47619047619047616
tôi muốn xem các trận đấu bóng đá. Giữa gói Vsport và gói Standard thì nên mua gói nào?,tôi muốn xem các trận đấu bóng đá. Giữa gói Vsport và gói Standard thì nên mua gói nào?,bóng đá giữa gọi v sport và gọi ben đớt thì nên mua gọi,1.0,1.0,0.12383116938270908,0.26315789473684215,1.0,0.26315789473684215,1.0,0.33333333333333337
"Tôi muốn xem phim và thể thao. Giữa gói HBO và gói Standard, gói nào tốt hơn",tôi muốn xem tập phim và thể thao giữa gói hbo và gói scan nước loại nào tốt hơn,và thể thao giữa gói hbo và gói sen đớt gòi nào tốt hơn,0.21384339360584378,0.7647058823529411,0.18254259749991406,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.7894736842105263,0.6111111111111112
"Tôi muốn xem mùa giải euro với chất lượng hình ảnh tốt, nên đăng ký gói cước nào","Tôi muốn xem mùa giải euro với chất lượng hình ảnh tốt, nên đăng ký gói cước nào",rô với chất lương hình ảnh tốt nên đăng ký gói cước nào,1.0,1.0,0.35227230209998117,0.6111111111111112,1.0,0.6111111111111112,1.0,0.6111111111111112
Tôi muốn theo dõi các kênh truyền hình K+. Gợi ý cho tôi gói cước phù hợp,Tôi muốn theo dõi các kênh truyền hình K+. Gợi ý cho tôi gói cước phù hợp,truyền hình k+ gợi ý cho tôi gói cước phù hợp,1.0,1.0,0.3867840607399245,0.6470588235294117,1.0,0.6470588235294117,1.0,0.6470588235294117
"Nếu tôi muốn xem các bộ phim độc quyền trên HBO, bạn sẽ gợi ý gói nào?","Nếu tôi muốn xem các bộ phim độc quyền trên HBO, bạn sẽ gợi ý gói nào?",độc quyền trên hbo bạn sẽ gợi gói nào,1.0,1.0,0.1603575911713826,0.5294117647058824,1.0,0.5294117647058824,1.0,0.5294117647058824
Hãy mở giúp tôi kênh nào đang phát sóng thời sự,Hãy mở giúp tôi kênh nào đang phát sóng thời sự,phát sóng thời sự,1.0,1.0,0.17377394345044514,0.36363636363636365,1.0,0.36363636363636365,1.0,0.36363636363636365
Có chương trình phim truyện nào hay đang chiếu không? mở giúp tôi,Có chương trình phim truyện nào hay đang chiếu không? mở giúp tôi,vào 2 đăng chiếu không mở giúp tôi,1.0,1.0,0.16453619249262263,0.3846153846153846,1.0,0.3846153846153846,1.0,0.3846153846153846
Cho tôi xem chương trình bóng đá nào đang phát trực tiếp vào lúc này,Cho tôi xem chương trình bóng đá nào đang phát trực tiếp vào lúc này,bóng đá nào đang phát trực tiếp vào lúc này,1.0,1.0,0.6065306597126334,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667
Hãy cho tôi biết lịch chiếu của kênh VTV1 vào 9h sáng hôm nay,Hãy cho tôi biết lịch chiếu của kênh VTV1 vào 9h sáng hôm nay,kênh vtv1 vào trìm cho sáng hôm nay,1.0,1.0,0.1606931809112029,0.3571428571428571,1.0,0.3571428571428571,1.0,0.4
Tôi muốn biết lịch phát sóng của kênh HTV7 vào 19h tối ngày mai,Tôi muốn biết lịch phát sóng của kênh HTV7 vào 19h tối ngày mai,htv7 và mười chín là tối ngày mai,1.0,1.0,0.13512631978394718,0.2142857142857143,1.0,0.2142857142857143,1.0,0.2142857142857143
Có thông tin gì về lịch phát sóng của kênh VTC8 vào 13h trong 2 ngày tới không?,Có thông tin gì về lịch phát sóng của kênh VTC8 vào 13h trong 2 ngày tới không?,sóng của kênh vtc8 và mười ba giờ,1.0,1.0,0.08195825588309774,0.2222222222222222,1.0,0.2222222222222222,1.0,0.2222222222222222
Tôi đang tìm kiếm lịch phát sóng của kênh H2 vào 5h chiều hôm nay,Tôi đang tìm kiếm lịch phát sóng của kênh H2 vào 5h chiều hôm nay,tổng của kênh h2 vào 05:00 chiều hôm nay,1.0,1.0,0.16466920669770424,0.4666666666666667,1.0,0.4666666666666667,1.0,0.4666666666666667
Tôi muốn xem 1 chương trình truyền hình trực tiếp về đời sống trên khung giờ 19 h ngày 24 tháng 6 bạn có thể gợi ý giúp tôi được không?.,Tôi muốn xem 1 chương trình truyền hình trực tiếp về đời sống trên khung giờ 19 h ngày 24 tháng 6 bạn có thể gợi ý giúp tôi được không?.,1 chương trình truyền hình thực tế về đời sống trên khung giờ 19:00 ngày 24/6 bạn có thể giúp tôi được không,1.0,1.0,0.35221235456919797,0.6129032258064516,1.0,0.6129032258064516,1.0,0.6129032258064516
Bạn có thể gợi ý cho tôi chương trình truyền hình về giáo dục được không,Bạn có thể gợi ý cho tôi chương trình truyền hình về giáo dục được không,chương trình truyền hình về giáo dục được không,1.0,1.0,0.45942582403592663,0.5625,1.0,0.5625,1.0,0.5625
"Tôi rất thích chương trình truyền hình trực tiếp của hàn quốc, có thể gợi ý giúp tôi ","Tôi rất thích chương trình truyền hình trực tiếp của hàn quốc, có thể gợi ý giúp tôi ",truyền hình trực tiếp của hàn quốc có thể gợi ý giúp tôi,1.0,1.0,0.5318964870703887,0.7222222222222222,1.0,0.7222222222222222,1.0,0.7222222222222222
Tôi rất thích bộ phim avatar 2 bạn có thể cung cấp lịch phát sóng bộ phim đó giúp tôi được không?,Tôi rất thích bộ phim avatar 2 bạn có thể cung cấp lịch phát sóng bộ phim đó giúp tôi được không?,anna ba hai bạn có thể cung cấp lịch phát sóng bộ phim đó giúp tôi,1.0,1.0,0.5516198847888348,0.5909090909090908,1.0,0.5909090909090908,1.0,0.5909090909090908
Những bộ phim nào đang được phát song song?,Những bộ phim nào đang được phát song song?,song song,1.0,1.0,0.01509869171115925,0.2222222222222222,1.0,0.2222222222222222,1.0,0.2222222222222222
Lịch chiếu những bộ phim mới như thế nào?,Lịch chiếu những bộ phim mới như thế nào?,những bộ phim mới như thế nào,1.0,1.0,0.6286655362004699,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778
Lịch xem các trận đấu euro 2024?,Lịch xem các trận đấu euro 2024?,zone 2024,1.0,1.0,0.0,0.1428571428571429,1.0,0.1428571428571429,1.0,0.1428571428571429
Tôi muốn xem lại trận đấu giữa tây ban nha vs đức trung kết euro?,Tôi muốn xem lại trận đấu giữa tây ban nha vs đức trung kết euro?,tôi muốn xem lại trận đấu giữa tây ban hoa với đức chung kết rô,1.0,1.0,0.5352064551327582,0.7333333333333334,1.0,0.7333333333333334,1.0,0.7333333333333334
Các trận tranh tài giữa các câu lạc bộ lớn giải Copa 2024?,các truyện tranh tài giữa các câu lạc bộ lớn giải câu 3 2024,các xuất thanh tài giữa các câu lạc bộ rồi đến bài câu 32024,0.6206161803077822,0.7692307692307692,0.3917310139549384,0.46153846153846156,0.7692307692307692,0.46153846153846156,0.7857142857142857,0.5
"sự kiện Noel tôi đang rất quan tâm , bạn có thể gợi ý những chương trình diễn ra ở sự kiện đó không?","sự kiện Noel tôi đang rất quan tâm , bạn có thể gợi ý những chương trình diễn ra ở sự kiện đó không?",tôi đang rất quan tâm bạn có thể gợi ý những chương trình diễn ra sự kiện đó không,1.0,1.0,0.5864605203354932,0.8260869565217391,1.0,0.8260869565217391,1.0,0.8260869565217391
"Bộ phim avatar đang rất hot hiện nay, bạn có thể cho xem tóm tắt nó được không?","Bộ phim avatar đang rất hot hiện nay, bạn có thể cho xem tóm tắt nó được không?",hiện nay bạn có thể cho xem tóm tắt nó được không,1.0,1.0,0.4555348407994064,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667
Ngày valentine có chương trình gì đặc biệt?,Ngày valentine có chương trình gì đặc biệt?,vì đặc biệt,1.0,1.0,0.07710814196876618,0.25,1.0,0.25,1.0,0.25
"Đang có chương trình văn nghệ chiến thắng điện biên phủ, mà tôi chưa nắm rõ , bạn giúp tôi xem tên chương trình đó là gì không?","Đang có chương trình văn nghệ chiến thắng điện biên phủ, mà tôi chưa nắm rõ , bạn giúp tôi xem tên chương trình đó là gì không?",đang có chương trình văn nghệ chuyến toán điện biên phủ mà tôi chưa làm rõ bạn giúp tôi xem chương trình đó là gì không,1.0,1.0,0.4249974965616357,0.8518518518518519,1.0,0.8518518518518519,1.0,0.8518518518518519
Ý nghĩa to lớn chiến thắng điện biên phủ là gì ?,Ý nghĩa to lớn chiến thắng điện biên phủ là gì ?,điện biên từ lai gì,1.0,1.0,0.09273533053445193,0.2727272727272727,1.0,0.2727272727272727,1.0,0.2727272727272727
Việc pháp xây dựng cứ điểm điện biên phủ như thế nào bạn có thể cho tôi biết không?,Việc pháp xây dựng cứ điểm điện biên phủ như thế nào bạn có thể cho tôi biết không?,nghiệp pháp xây dựng từ điển điện biên phủ truyền nào bạn có thể cho tôi biết không,1.0,1.0,0.47746666644788793,0.736842105263158,1.0,0.736842105263158,1.0,0.736842105263158
"Cuộc bầu cử chủ tịch nước là bầu cử quan trọng của cả nước, bạn có thể cho tôi biết ai là tân chủ tịch nước không?","Cuộc bầu cử chủ tịch nước là bầu cử quan trọng của cả nước, bạn có thể cho tôi biết ai là tân chủ tịch nước không?","tăng cường quan trọng của cả nước, bạn có thể cho tôi biết ai là tân chủ tịch nước không",1.0,1.0,0.5946380260280418,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667
Tỉ lệ bầu cử của tân chủ tịch nước là bao nhiêu?,Tỉ lệ bầu cử của tân chủ tịch nước là bao nhiêu?,chủ tịch nước là bao nhiêu,1.0,1.0,0.29556479778261396,0.5,1.0,0.5,1.0,0.5
Thông tin về ứng viên được bầu làm chủ tịch nước,Thông tin về ứng viên được bầu làm chủ tịch nước,chủ tịch nước,1.0,1.0,0.05842838505271014,0.2727272727272727,1.0,0.2727272727272727,1.0,0.2727272727272727
hiện nay phim tìm em trong ký ức  đang rất hót gần đây bạn có thể cho tôi xem tóm tắt video đó được không?,hiện nay phim tìm em trong ký ức  đang rất hót gần đây bạn có thể cho tối xem tóm tắt video đó đúng không,đăng ký đăng rất thót gần đây bạn phải để cho tôi trang video còn cắt và được không,0.8109729166526273,0.92,0.11651459801209657,0.36,0.92,0.36,0.92,0.36
Có chương trình thực tế về âm nhạc ca sĩ mặt nạ đang gây sốt hãy cho mình biết đang chiếu trên kênh nào?,Có chương trình thực tế về âm nhạc ca sĩ mặt nạ đang gây sốt hãy cho mình biết đang chiếu trên kênh nào?,ca sĩ mặt nạ đang ghi shop 200 mình đăng chí trên tây là,1.0,1.0,0.16759336113477868,0.29166666666666663,1.0,0.29166666666666663,1.0,0.29166666666666663
Truyền hình thực tế rap việt đang được chiếu kênh nào?,Truyền hình thực tế rap việt đang được chiếu kênh nào?,đang được hình trên kênh nào,1.0,1.0,0.1411000944252055,0.2727272727272727,1.0,0.2727272727272727,1.0,0.33333333333333337
Mở cho tôi phim của diễn viên Tom Cruise được không?,Mở cho tôi phim của diễn viên Tom Cruise được không?,tinh tôn từ ngon được hơn,1.0,1.0,0.08389861810900508,0.09090909090909094,1.0,0.09090909090909094,1.0,0.09090909090909094
Mở cho tôi phim của diễn viên Việt Anh?,Mở cho tôi phim của diễn viên Việt Anh?,tuyệt,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Mở phim của diễn viên Jason Statham,Mở phim của diễn viên Jason Statham,tiên dây sừng sa thang,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Tìm kiếm giúp tôi phim viễn tưởng có yếu tố tình cảm ?,Tìm kiếm giúp tôi phim viễn tưởng có yếu tố tình cảm ?,phim viễn tưởng có yếu tố tình cảm,1.0,1.0,0.5352614285189903,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667
Tìm kiếm giúp tôi phim về viễn tưởng giải cứu thế giới?,Tìm kiếm giúp tôi phim về viễn tưởng giải cứu thế giới?,tìm kiếm giúp tôi tin về viễn tưởng giải cùng thế giới,1.0,1.0,0.3945881255591767,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334
"Tôi rất thích phim về viễn tưởng , đặc biệt là phim Blade Runner , bạn có thể cho tôi tên đạo diễn được không?",Tôi rất thích phim về viễn tưởng đặc biệt là phim Play bạn có thể cho tôi tên đạo diễn được không,đặc biệt bên bờ let' s bạn có thể cho tôi tên đạo diễn,0.6556138410653969,0.9130434782608696,0.27026910526448056,0.4347826086956522,0.9130434782608696,0.4347826086956522,0.9130434782608696,0.4347826086956522
Các chương trình đang thịnh hành nhất hiện này là gì ?,Các chương trình đang thịnh hành nhất hiện này là gì ?,hiện là gì,1.0,1.0,0.031811104014284386,0.2727272727272727,1.0,0.2727272727272727,1.0,0.2727272727272727
"Gần đây có chương trình nhịp đập việt nam , được phát sóng vào khung giờ nào trên kênh nào ?","Gần đây có chương trình nhịp đập việt nam , được phát sóng vào khung giờ nào trên kênh nào ?",việt nam được các and ra 00:00 nờ trên kênh m,1.0,1.0,0.07761625416814733,0.26315789473684215,1.0,0.26315789473684215,1.0,0.26315789473684215
Gần đây tôi rất thích xem phim hành động và phiêu lưu bạn có thể gợi ý 2 bộ phim tương tự được không?,Gần đây tôi rất thích xem phim hành động và phiêu lưu bạn có thể gợi ý 2 bộ phim tương tự được không?,gần đây tôi sắp thích xem phim hành động bạn có thể có kỳ 2 bộ phim tự động,1.0,1.0,0.29871357296105217,0.625,1.0,0.625,1.0,0.625
Quá trình phát triển của viettel như thế nào?,Quá trình phát triển của viettel như thế nào?,chuyển của viettel như thế nào,1.0,1.0,0.3665113625996641,0.5555555555555556,1.0,0.5555555555555556,1.0,0.5555555555555556
Viettel đã đạt được những thành tích quan trọng nào?,Viettel đã đạt được những thành tích quan trọng nào?,quan trọng,1.0,1.0,0.01295111245998798,0.19999999999999996,1.0,0.19999999999999996,1.0,0.19999999999999996
Viettel Là doanh nghiệp kinh doanh về lĩnh vực gì?,Viettel Là doanh nghiệp kinh doanh về lĩnh vực gì?,văn về lĩnh vực gì,1.0,1.0,0.18207207038003906,0.4,1.0,0.4,1.0,0.4
Các dịch vụ được tích hợp trong myviettel,Các dịch vụ được tích hợp trong myviettel,viettel,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Tôi đang quan tâm gói cước ST120k bạn có thể cung cấp thông tin về gói cước không?,Tôi đang quan tâm gói cước ST120k bạn có thể cung cấp thông tin về gói cước không?,sút t120 k3 đề trên cấp công tiền đề bài suất công,1.0,1.0,0.05406472082217331,0.05555555555555558,1.0,0.05555555555555558,1.0,0.05555555555555558
